,admin2Name,admin1Name,admin0Name,Shape_Area
44,Adan Yabaal,Middle Shabelle,Somalia,0.323929645328
49,Afgooye,Lower Shabelle,Somalia,0.321784191413
71,Afmadow,Lower Juba,Somalia,2.17410827018
62,Baardheere,Gedo,Somalia,1.2417692122
72,Badhaadhe,Lower Juba,Somalia,0.793047524706
2,Baki,Awdal,Somalia,0.282360411971
45,Balcad,Middle Shabelle,Somalia,0.344615478293
0,Banadir,Banadir,Somalia,0.0196192655061
22,Bandarbeyla,Bari,Somalia,0.928449847181
50,Baraawe,Lower Shabelle,Somalia,0.268329047885
55,Baydhaba,Bay,Somalia,1.05052652167
40,Belet Weyne,Hiraan,Somalia,1.2118253872
63,Belet Xaawo,Gedo,Somalia,0.310250851032
7,Berbera,Woqooyi Galbeed,Somalia,0.847113698216
1,Borama,Awdal,Somalia,0.254798415825
21,Bossaso,Bari,Somalia,0.65159556975
67,Bu'aale,Middle Juba,Somalia,0.446119566876
41,Bulo Burto,Hiraan,Somalia,1.3072007006
9,Burco,Togdheer,Somalia,1.32260622239
33,Burtinle,Nugaal,Somalia,0.792737978391
10,Buuhoodle,Togdheer,Somalia,0.55790595
56,Buur Hakaba,Bay,Somalia,1.46577889171
24,Cabudwaaq,Galgaduud,Somalia,0.505776848348
30,Cadaado,Galgaduud,Somalia,0.523915143181
46,Cadale,Middle Shabelle,Somalia,0.474014622575
27,Caluula,Bari,Somalia,0.375612860872
16,Caynabo,Sool,Somalia,0.664215113416
25,Ceel Afweyn,Sanaag,Somalia,1.29284994829
60,Ceel Barde,Bakool,Somalia,0.624815840155
37,Ceel Buur,Galgaduud,Somalia,1.08864088638
39,Ceel Dheer,Galgaduud,Somalia,0.843657451222
64,Ceel Waaq,Gedo,Somalia,0.631852286474
20,Ceerigaabo,Sanaag,Somalia,2.14331529631
15,Dhuusamarreeb,Galgaduud,Somalia,1.03556551729
57,Diinsoor,Bay,Somalia,0.791205919542
65,Doolow,Gedo,Somalia,0.131797516079
34,Eyl,Nugaal,Somalia,0.763726169984
35,Gaalkacyo,Mudug,Somalia,1.24194492397
36,Galdogob,Mudug,Somalia,0.160190119803
61,Garbahaarey,Gedo,Somalia,0.676789892065
32,Garoowe,Nugaal,Somalia,0.705659435806
8,Gebiley,Woqooyi Galbeed,Somalia,0.352621374969
5,Hargeysa,Woqooyi Galbeed,Somalia,1.1290371345
26,Hobyo,Mudug,Somalia,2.08061557585
28,Iskushuban,Bari,Somalia,1.51631780784
42,Jalalaqsi,Hiraan,Somalia,0.254164752999
73,Jamaame,Lower Juba,Somalia,0.175051872147
29,Jariiban,Mudug,Somalia,0.894561626333
68,Jilib,Middle Juba,Somalia,0.426583383222
43,Jowhar,Middle Shabelle,Somalia,0.377193304409
70,Kismaayo,Lower Juba,Somalia,0.749813145415
51,Kurtunwaarey,Lower Shabelle,Somalia,0.20691506669
13,Laas Caanood,Sool,Somalia,0.949647301949
19,Laasqoray,Sanaag,Somalia,1.00558794977
3,Lughaye,Awdal,Somalia,0.275737346424
66,Luuq,Gedo,Somalia,0.672482584331
48,Marka,Lower Shabelle,Somalia,0.0873031680298
11,Owdweyne,Togdheer,Somalia,0.687717778525
23,Qandala,Bari,Somalia,0.612165279866
58,Qansax Dheere,Bay,Somalia,0.265696588749
31,Qardho,Bari,Somalia,1.53423020067
52,Qoryooley,Lower Shabelle,Somalia,0.261213958535
47,Rab Dhuure,Bakool,Somalia,0.269510106656
69,Saakow,Middle Juba,Somalia,0.654010627863
53,Sablaale,Lower Shabelle,Somalia,0.487033246751
12,Sheikh,Togdheer,Somalia,0.244198860764
17,Taleex,Sool,Somalia,0.706614205387
6,Tayeeglow,Bakool,Somalia,0.537077039012
38,Waajid,Bakool,Somalia,0.228244729388
54,Wanla Weyn,Lower Shabelle,Somalia,0.464610401538
14,Xarardheere,Mudug,Somalia,0.417280713215
18,Xudun,Sool,Somalia,0.748988580066
59,Xudur,Bakool,Somalia,0.442283705439
4,Zeylac,Awdal,Somalia,0.499583150619
